"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"2478","0/1","After four days of chaos in cycling , spurred by the Floyd Landis ' admission of doping and his allegations against other top riders , <a>XXXX</a> celebrated .","one team at Sunday 's Tour of California","team","nsubj -> celebrated"
"2479","0/1","About one-third of employers subject to major requirements of the new health care law may face <a>XXXX</a> because they offer health insurance that could be considered unaffordable to some employees , a new study says .","tax penalties","penalties","dobj -> face"
"2480","0/1","About one-third of employers subject to major requirements of the new health care law may face tax penalties because <a>XXXX</a> offer health insurance that could be considered unaffordable to some employees , a new study says .","they","they","nsubj -> offer"
"2481","0/1","Stepping quickly toward his big black Dodge Ram truck , <a>XXXX</a> offered a few highlights of the weekend ahead .","Todd Palin","Palin","nsubj -> offered"
"2482","0/1","It was here , in this blue-collar town of frame houses and good-natured biker bars , that Jerry Ralph Kane Jr. began his fight against what he regarded as the illegitimate corporations he believed had usurped <a>XXXX</a> .","the government","government","dobj -> usurped"
"2485","0/1","His rebounding , <a>XXXX</a> , even at times his sleek goggles .","his assertiveness","assertiveness","appos -> rebounding"
"2486","0/1","If there was <a>XXXX</a> in the Arizona desert last week , it was all absorbed by Stoudemire , the Phoenix Suns ' bespectacled , bewildering big man .","a little extra heat","heat","nsubj -> was"
"2488","0/1","President Lee Myung-bak said on Monday that South Korea would cut nearly all trade with North Korea , deny North Korean merchant ships use of South Korean sea lanes and ask <a>XXXX</a> to punish the North for what he called the deliberate sinking of a South Korean warship two months ago .","the U.N. Security Council","Council","nsubj -> punish"
"2489","0/1","Tensions escalated sharply Monday on the Korean peninsula , as South Korean President Lee Myung-bak said on Monday that his nation would cut nearly all trade with North Korea , deny North Korean merchant ships use of South Korean sea lanes and ask the U.N. Security Council to punish the North for what <a>XXXX</a> called the deliberate sinking of a South Korean warship two months ago .","he","he","nsubj -> called"
"2490","0/1","Tensions escalated sharply Monday on the Korean Peninsula as the South Korean president , Lee Myung-bak , said that his nation would sever nearly all trade with North Korea , deny North Korean merchant ships use of South Korean sea lanes and ask <a>XXXX</a> to punish the North for what he called the deliberate sinking of a South Korean warship two months ago .","the U.N. Security Council","Council","dobj -> ask"
"2491","0/1","China and the United States opened <a>XXXX</a> here on Monday meant to broaden and deepen the ties between the world 's largest developed and developing economies .","three days of high-level meetings","days","dobj -> opened"
"2492","0/1","Tensions escalated sharply Monday on the Korean Peninsula as the South Korean president , Lee Myung-bak , said that his nation would sever nearly all trade with North Korea , deny North Korean merchant ships use of South Korean sea lanes and ask <a>XXXX</a> to punish the North for what he called the deliberate sinking of a South Korean warship two months ago .","the U.N. Security Council","Council","dobj -> ask"
"2493","0/1","China and <a>XXXX</a> opened three days of high-level meetings here on Monday meant to broaden and deepen the ties between the world 's largest developed and developing economies .","the United States","States","nsubj -> opened"
"2495","0/1","I 've had <a>XXXX</a> try to break into my computer .","people","people","nsubj -> try"
"2496","0/1","After last week 's incumbent spill , someone sent a happy e-mail promising <a>XXXX</a> , hallelujah !","a great `` purge '' in Washington in the fall","purge","dobj -> promising"
"2497","0/1","During the course of 20 years , familiarity might have lulled the casual viewer into forgetting that `` <a>XXXX</a> '' broke ground on several television fronts .","Law & Order","Law","nsubj -> broke"
"2498","0/1","Coca-Cola 's shareholder meeting at the cavernous Gwinnett Center in Duluth , Ga. , was wrapping up last month when <a>XXXX</a> rose from his seat in the audience after CEO Muhtar Kent asked for questions .","John Evans","Evans","nsubj -> rose"
"2499","0/1","<a>XXXX</a> issued a report critical of the Atlanta Police Department on Monday , citing police for a variety of problems , including inexplicable delays in the interviewing of witnesses and failure to punish officers who break rules .","A citizen oversight panel","panel","nsubj -> issued"
"2500","0/1","When the topic is giving maximum effort on the baseball field , you go right to the source , `` Charlie Hustle , '' the superstar who took <a>XXXX</a> to the extreme of sprinting down to first base on ball four .","it","it","dobj -> took"
"2501","0/1","They 're both high-profile members of their teams and they both found themselves in trying <a>XXXX</a> last week .","situations","situations","dobj -> trying"
"2502","0/1","Clayton Sands balances his Winchester Model 70 .375 H&H magnum on a shooting stick , aims , exhales and squeezes the trigger sending <a>XXXX</a> into the chest of a Cape buffalo , the toughest , meanest , hardest to kill animal in East Africa .","a 300-grain load","load","dobj -> sending"
"2503","0/1","The delivery of U.S. aircraft and helicopters to the Mexican military to fight narcotics cartels is being accelerated following talks between the presidents of both nations , <a>XXXX</a> said Monday .","officials","officials","nsubj -> said"
"2504","0/1","A history teacher in Dahlonega , <a>XXXX</a> , was placed on administrative leave Monday after she let four students wear Ku Klux Klan outfits in a historical reenactment .","Ga.","Ga.","appos -> Dahlonega"
"2505","0/1","Walking across the campus of Montana State University here , David Sands , a plant pathologist , says <a>XXXX</a> contains a surprise .","the blanket of snow draped over the mountains around town","blanket","nsubj -> contains"
"2506","0/1","Walking across the campus of Montana State University here , David Sands , a plant pathologist , says the blanket of snow draped over the mountains around town contains <a>XXXX</a> .","a surprise","surprise","dobj -> contains"
"2507","0/1","<a>XXXX</a> hoists materials to the skeletal third floor of a revolutionary research facility under construction on the University of Colorado 's east campus .","A crane","crane","nsubj -> hoists"
"2508","0/1","Despite turmoil in the economy and high unemployment , <a>XXXX</a> fell significantly across the United States in 2009 , according to a report released by the FBI on Monday .","crime rates","rates","nsubj -> fell"
"2509","0/1","Exploiting a political crisis , Malagasy timber barons are robbing this island nation of its sylvan heritage , illegally cutting down <a>XXXX</a> in poorly protected national parks and exporting most of the valuable logs to China .","scarce species of rosewood trees","species","dobj -> cutting"
"2510","0/1","Exploiting a political crisis , Malagasy timber barons are robbing this island nation of its sylvan heritage , illegally cutting down <a>XXXX</a> in poorly protected national parks and exporting most of the valuable logs to China .","scarce species of rosewood trees","species","dobj -> cutting"
"2511","0/1","Prime Minister Manmohan Singh said Monday that <a>XXXX</a> must reach 10 percent annual economic growth and improve relations with Pakistan if it wants to reduce poverty and make more rapid progress .","India","India","nsubj -> improve"
"2512","0/1","Prime Minister Manmohan Singh said Monday that India must reach <a>XXXX</a> and improve relations with Pakistan if it wants to reduce poverty and make more rapid progress .","10 percent annual economic growth","growth","dobj -> reach"
"2513","0/1","Roughly five weeks after oil started gushing into the Gulf of Mexico , frustration mounted Monday among administration officials disappointed with BP 's failure to stop the spill and coastal leaders who complained that bureaucratic foot-dragging was blocking bids to keep crude from contaminating <a>XXXX</a> .","fragile marshlands","marshlands","dobj -> contaminating"
"2514","0/1","Despite turmoil in the economy and high unemployment , <a>XXXX</a> fell significantly across the United States in 2009 , according to a report released by the FBI on Monday .","crime rates","rates","nsubj -> fell"
"2515","0/1","About 720,000 investors outside the United States who lost money to the convicted swindler Bernard Madoff have settled with their banks , receiving about $ 15.5 billion in all , according to law firms representing <a>XXXX</a> .","those victims of the fraud","victims","dobj -> representing"
"2516","0/1","About 720,000 investors outside the United States who lost money to the convicted swindler Bernard Madoff have settled with their banks , receiving about $ 15.5 billion in all , according to law firms representing <a>XXXX</a> .","those victims of the fraud","victims","dobj -> representing"
"2517","0/1","Tony Blair , <a>XXXX</a> , is turning his attention to Silicon Valley .","the former British prime minister","minister","appos -> Blair"
"2518","0/1","Blair is becoming a senior adviser at Khosla Ventures , the venture capital firm founded by Vinod Khosla , <a>XXXX</a> .","an investor and a proponent of green technology","investor","appos -> Khosla"
"2519","0/1","Former Afghan foreign minister and current opposition leader , <a>XXXX</a> warned the NATO-led coalition in Afghanistan could fray amid frustration over lack of progress in the embattled nation .","Dr. Abdullah Abdullah on Monday","Abdullah","nsubj -> warned"
"2520","0/1","Last month hundreds of environmental activists crammed into an auditorium here to ponder an anguished question : If the scientific consensus on climate change has not changed , why have so many people turned away from the idea that human activity is warming <a>XXXX</a> ?","the planet","planet","dobj -> warming"
"2521","0/1","A doctor whose research and public statements caused widespread alarm that a common childhood vaccine could cause autism was banned Monday from practicing <a>XXXX</a> in his native Britain for ethical lapses , including conducting invasive medical procedures on children that they did not need .","medicine","medicine","dobj -> practicing"
"2522","0/1","<a>XXXX</a> went on to be the dean of Harvard Law School , the solicitor general of the United States , and now a nominee to the Supreme Court .","She","She","nsubj -> went"
"2523","0/1","But in the fall of 1983 , <a>XXXX</a> was just another first-year law student at Harvard .","Elena Kagan","Kagan","nsubj -> student"
"2524","0/1","She went on to be the dean of Harvard Law School , the solicitor general of the United States , and <a>XXXX</a> .","now a nominee to the Supreme Court","nominee","dobj -> went"
"2525","0/1","But in the fall of 1983 , <a>XXXX</a> was just another first-year law student at Harvard .","Elena Kagan","Kagan","nsubj -> student"
"2526","0/1","The White House and leading congressional Democrats reached agreement Monday on legislative language and a timeframe for repealing the military 's `` do n't ask , do n't tell '' policy , but it was not clear whether the deal had secured the votes necessary to pass the House and <a>XXXX</a> .","Senate","Senate","dobj -> pass"
"2527","0/1","As governments from Greece to Portugal to Spain try to sell markets on their budget-cutting zeal , the country that may face the biggest hurdle is <a>XXXX</a> .","Britain","Britain","nsubj -> is"
"2528","0/1","As <a>XXXX</a> try to sell markets on their budget-cutting zeal , the country that may face the biggest hurdle is Britain .","governments from Greece to Portugal to Spain","governments","nsubj -> try"
"2529","0/1","The White House and leading congressional Democrats reached agreement Monday on legislative language and a timeframe for repealing the military 's `` do n't ask , do n't tell '' policy , but it was not clear whether <a>XXXX</a> had secured the votes necessary to pass the House and Senate .","the deal","deal","nsubj -> secured"
"2530","0/1","<a>XXXX</a> could be the cutbacks to the city 's transportation system , or a general decline in urban civility .","It","It","nsubj -> cutbacks"
"2531","0/1","Perhaps <a>XXXX</a> are just in a collective bad mood .","people","people","nsubj -> mood"
"2532","0/1","A doctor whose research and public statements caused widespread alarm that a common childhood vaccine could cause autism was banned on Monday from practicing <a>XXXX</a> in his native Britain for ethical lapses , including conducting invasive medical procedures on children that they did not need .","medicine","medicine","dobj -> practicing"
"2533","0/1","Last month hundreds of environmental activists crammed into an auditorium here to ponder an anguished question : If the scientific consensus on climate change has not changed , why have so many people turned away from the idea that <a>XXXX</a> is warming the planet ?","human activity","activity","nsubj -> warming"
"2534","0/1","<a>XXXX</a> unanimously rejected a request from the National Football League that it be granted broad antitrust immunity on the theory that it is a single entity rather than a collection of 32 independent teams .","The Supreme Court on Monday","Court","nsubj -> rejected"
"2535","0/1","The top American commander in the Middle East has ordered <a>XXXX</a> in an effort to disrupt militant groups or counter threats in Iran , Saudi Arabia , Somalia and other countries in the region , according to defense officials and military documents .","a broad expansion of clandestine military activity","expansion","dobj -> ordered"
"2536","0/1","Rent-controlled and rent-stabilized apartments carry <a>XXXX</a> to New Yorkers starved for space .","mythic significance","significance","dobj -> carry"
"2538","0/1","If he were a city instead of a player , <a>XXXX</a> would have his own catalog of capitalized catchphrases to match his inventory of facial affronts .","Steve Nash","Nash","nsubj -> have"
"2539","0/1","For weeks , it was a disaster in abstraction , <a>XXXX</a> .","a threat floating somewhere out there","threat","appos -> abstraction"
"2540","0/1","<a>XXXX</a> could be the cutbacks to the city 's transportation system , or a general decline in urban civility .","It","It","nsubj -> cutbacks"
"2541","0/1","Perhaps <a>XXXX</a> are just in a collective bad mood .","people","people","nsubj -> mood"
"2542","0/1","For weeks , it was a disaster in abstraction , <a>XXXX</a> .","a threat floating somewhere out there","threat","appos -> abstraction"
"2543","0/1","I asked the sheriff of St. Bernard Parish , Jack Stephens , if he was at all optimistic about BP stopping the gusher of oil that is fouling the Gulf of Mexico in time to prevent <a>XXXX</a> .","a long-term environmental catastrophe in the southern Louisiana wetlands","catastrophe","dobj -> prevent"
"2544","0/1","<a>XXXX</a> seemed the most innocuous of plays , a short corner played from Landon Donovan to DaMarcus Beasley at the Confederations Cup last June .","It","It","nsubj -> seemed"
"2545","0/1","Except <a>XXXX</a> rolled under Beasley 's foot and was whooshed downfield by Brazil for a searing counterattack goal .","the ball","ball","nsubjpass -> whooshed"
"2546","0/1","<a>XXXX</a> on Monday accused Pakistan 's intelligence agency of involvement in the suicide bombing here last week that killed six NATO soldiers , including four colonels .","A spokesman for Afghanistan 's intelligence agency","spokesman","nsubj -> accused"
"2547","0/1","A spokesman for Afghanistan 's intelligence agency on Monday accused Pakistan 's intelligence agency of involvement in the suicide bombing here last week that killed <a>XXXX</a> , including four colonels .","six NATO soldiers","soldiers","dobj -> killed"
"2548","0/1","<a>XXXX</a> was shot and killed in northern Iraq on Monday night .","A newly elected member of Iraq 's parliament","member","nsubjpass -> shot"
"2550","0/1","The United States on Tuesday will unveil the newly restored Hotel de Talleyrand , the historic Parisian palace on the Place de la Concorde that once served as the headquarters of the Marshall Plan , <a>XXXX</a> .","the postwar American reconstruction plan for Western Europe","plan","appos -> Talleyrand"
"2551","0/1","<a>XXXX</a> was shot and killed in northern Iraq on Monday night .","A newly elected member of Iraq 's parliament","member","nsubjpass -> killed"
"2552","0/1","When Floyd Landis last week accused <a>XXXX</a> , one thing was missing from the fallout : a flat-out , en masse denial of Landis ' allegations .","several top riders of doping","riders","dobj -> accused"
"2553","0/1","The hand-scrawled note on the cover of the steno pad is as simple as <a>XXXX</a> is startling .","it","it","nsubj -> startling"
"2554","0/1","<a>XXXX</a> never went as far on Monday as it used to go for Andy Murray , a perfectionist in a game where perfection is simply not an option .","It","It","nsubj -> went"
"2555","0/1","<a>XXXX</a> has been 11 years since an American man reached the French Open final and only three years since men from the United States were an ignominious 0-9 in the first round .","It","It","nsubj -> years"
"2556","0/1","The record book is bleak for the women , too ; <a>XXXX</a> has not reached the final since 2002 .","an American","American","nsubj -> reached"
"2557","0/1","As Sen. Christopher Dodd completed what might be the capstone of his legislative career last week by shepherding a major banking overhaul through the Senate , the guest book in his office offered a glimpse of why <a>XXXX</a> is not seeking re-election .","he","he","nsubj -> seeking"
"2558","0/1","<a>XXXX</a> includes these recent greetings from visitors who stopped by to pay their disrespects :","It","It","nsubj -> includes"
"2559","0/1","As Sen. Christopher Dodd completed what might be the capstone of his legislative career last week by shepherding a major banking overhaul through the Senate , <a>XXXX</a> offered a glimpse of why he is not seeking re-election .","the guest book in his office","book","nsubj -> offered"
"2560","0/1","It includes these recent greetings from visitors who stopped by to pay <a>XXXX</a> :","their disrespects","disrespects","dobj -> pay"
"2561","0/1","For three months , the White House has refused to say whether it offered a job to Rep. Joe Sestak to get <a>XXXX</a> to drop his challenge to Sen. Arlen Specter in a Pennsylvania Democratic primary , as Sestak has asserted .","him","him","nsubj -> drop"
"2563","0/1","Two disparate groups , one representing businesses and one regulators , plan to propose <a>XXXX</a> this week to revive Europe 's carbon-trading market , a system that even supporters admit has fallen short of its goal of reducing greenhouse-gas emissions .","new steps","steps","dobj -> propose"
"2566","0/1","Federal regulators responsible for oversight of drilling in the Gulf of Mexico allowed industry officials several years ago to fill in their own inspection reports in pencil -- and then turned them over to the regulators , who later traced over them in pen before submitting <a>XXXX</a> , according to an inspector general 's report to be released this week .","the reports to the agency","reports","dobj -> submitting"
"2567","0/1","<a>XXXX</a> responsible for oversight of drilling in the Gulf of Mexico allowed industry officials several years ago to fill in their own inspection reports in pencil -- and then turned them over to the regulators , who later traced over them in pen before submitting the reports to the agency , according to an inspector general 's report to be released this week .","Federal regulators","regulators","nsubj -> responsible"
"2568","0/1","The office of Israel 's president , Shimon Peres , strongly denied Monday that <a>XXXX</a> , as Israel 's defense minister , offered to sell nuclear warheads to South Africa in 1975 , as reported by The Guardian .","Peres","Peres","nsubj -> offered"
"2569","0/1","Two top Democratic legislators said Monday that <a>XXXX</a> would begin a process to modernize telecommunications laws that were last overhauled in 1996 but barely mention the Internet .","they","they","nsubj -> begin"
"2570","0/1","Two top Democratic legislators said Monday that they would begin a process to modernize telecommunications laws that were last overhauled in 1996 but barely mention <a>XXXX</a> .","the Internet","Internet","dobj -> mention"
"2571","0/1","In a case that carried echoes of two of its most divisive decisions in recent years , the Supreme Court on Monday unanimously ruled that black firefighters in Chicago did not miss <a>XXXX</a> to argue that the city used an employment test in a way that disproportionately hurt their chances .","a deadline","deadline","dobj -> miss"
"2572","0/1","President Barack Obama will send up to 1,200 National Guard troops to the Southwest border and seek <a>XXXX</a> there to combat drug smuggling after demands from Republican and Democratic lawmakers that border security be tightened .","increased spending on law enforcement","spending","dobj -> seek"
"2573","0/1","Fearful of becoming the next Greece , European governments are lining up to demonstrate to investors , who have long helped finance <a>XXXX</a> , that an era of austerity has begun .","their spending","spending","dobj -> finance"
"2574","0/1","The Federal Communications Commission said on Tuesday that it would begin soliciting <a>XXXX</a> as part of a review and possible revision of its media ownership rules , which set limits on the ownership of multiple television and radio stations and newspapers in a single commercial market .","public comments","comments","dobj -> soliciting"
"2575","0/1","A Peruvian judge on Tuesday ordered the release on parole of Lori Berenson , <a>XXXX</a> has spent more than 14 years in prison on a conviction of collaborating with a Marxist rebel group in a foiled terrorist plot to take the Peruvian Congress hostage .","the New Yorker who","Yorker","nsubj -> spent"
"2576","0/1","A day before <a>XXXX</a> planned to set his World Cup roster , the United States displayed some encouraging performances but also raised troubling questions in a 4-2 defeat on Tuesday by the Czech Republic .","coach Bob Bradley","Bradley","nsubj -> set"
"2577","0/1","There will be no easy path back to the finals for the Los Angeles Lakers , no matter how many noses <a>XXXX</a> break or how many times they dismissively shrug off their opponent .","they","they","nsubj -> break"
"2578","0/1","The mad swirl of speculation surrounding LeBron James has now ensnared Phil Jackson and <a>XXXX</a> , albeit indirectly .","the Los Angeles Lakers","Lakers","dobj -> ensnared"
"2579","0/1","<a>XXXX</a> wrapped up three days of high-level meetings with a handful of trade and energy agreements but little progress on the most pressing American priority : winning China 's backing for new measures against North Korea , which South Korea has accused of torpedoing one of its warships .","China and the United States","China","nsubj -> wrapped"
"2580","0/1","Democrats say their financial regulation plan will vastly reduce the odds of a future crisis and ensure that <a>XXXX</a> wo n't ever again have to pay for banks ' sins .","taxpayers","taxpayers","nsubj -> have"
"2581","0/1","<a>XXXX</a> worry -- and with good reason -- that the White House and Congress are being a little too confident .","Skeptics","Skeptics","nsubj -> worry"
"2582","0/1","An LAPD motorcycle officer whose ongoing dispute with his superior snowballed after he was punished for clocking out five minutes early one day has been awarded $ 2 million from a jury who believed <a>XXXX</a> was unfair .","his subsequent firing","firing","nsubj -> unfair"
"2583","0/1","The leadership of the Los Angeles County Republican Party faces a challenge in court today as a group of self-proclaimed Tea Party activists ask a judge to install them on the county committee , effectively giving them <a>XXXX</a> .","control of the organization","control","dobj -> giving"
"2584","0/1","North and South Korea accelerated their diplomatic confrontation Tuesday over the recent sinking of a South Korean warship , with the South saying it would redesignate the North its `` archenemy '' and <a>XXXX</a> severing almost all of its remaining ties to its far wealthier neighbor .","North Korea","Korea","nsubj -> severing"
"2585","0/1","About two dozen opponents of Los Angeles ' economic boycott of Arizona turned out at City Hall on Tuesday to call on the City Council to rescind <a>XXXX</a> .","its action","action","dobj -> rescind"
"2586","0/1","<a>XXXX</a> was taken on a tour last week of the downtown W Hotel & Residences , which are still under construction on Second Street across from City Hall .","I","I","nsubjpass -> taken"
"2588","0/1","Jason Heyward does n't need to be told about Miguel Cabrera , the former Florida Marlins miracle who hit a walk-off homer in his first game in the big leagues and went on to hit <a>XXXX</a> for a World Series championship team , all at the mind-blowing age of 20 .","cleanup","cleanup","dobj -> hit"
"2589","0/1","<a>XXXX</a> went ahead Wednesday afternoon with its most ambitious -- and potentially most consequential -- effort to plug the mile-deep gusher of oil that has been streaming into the Gulf of Mexico for more than a month .","BP","BP","nsubj -> went"
"2591","0/1","As a little experiment -LRB- in what , I 'm not sure -RRB- <a>XXXX</a> scheduled 7 a.m. oral surgery on my birthday last week .","I","I","nsubj -> scheduled"
"2592","0/1","Seems like a good idea , does <a>XXXX</a> ?","n't it","it","dobj -> does"
"2593","0/1","<a>XXXX</a> went ahead Wednesday afternoon with its most ambitious -- and potentially most consequential -- effort to plug the mile-deep gusher of oil that has been streaming into the Gulf of Mexico for more than a month .","BP","BP","nsubj -> went"
"2594","0/1","Even though my nickname is Sweet , <a>XXXX</a> 'm growing continually in my wine appreciation .","I","I","nsubj -> growing"
"2595","0/1","The flavors in the Spring Couscous Salad are bright and <a>XXXX</a> are smooth and crunchy .","the contrasting textures","textures","nsubj -> smooth"
"2596","0/1","<a>XXXX</a> 's the perfect side dish for a savory main course , like roasted fowl with root vegetables , or grilled chicken breasts .","It","It","nsubj -> dish"
"2597","0/1","<a>XXXX</a> was n't just about the Ku Klux Klan .","The film","film","nsubj -> Klan"
"2598","0/1","<a>XXXX</a> do not a press conference make .","Mr. President , two questions -- or even four --","President","nsubj -> make"
"2599","0/1","`` Dancing With the Stars '' had its lowest season-finale audience when Nicole Scherzinger and her professional partner , Derek Hough , were awarded <a>XXXX</a> Tuesday night .","the disco ball trophy","trophy","dobj -> awarded"
"2600","0/1","Yet <a>XXXX</a> have never been more popular .","the show 's Monday night performances","performances","nsubj -> popular"
"2601","0/1","<a>XXXX</a> fly off calendars , as in old movies .","Pages","Pages","nsubj -> fly"
"2602","0/1","Yes , <a>XXXX</a> is just around the corner .","Memorial Day","Day","nsubj -> corner"
"2603","0/1","But in the life of a professional party planner , <a>XXXX</a> is just a place holder on the events horizon , a false lull between the benefit season that winds down this week and the one that cranks up again immediately after Labor Day .","summer","summer","nsubj -> holder"
"2604","0/1","Immigration legislation under consideration in several states and similar to the controversial crackdown in Arizona could have a chilling impact on local law enforcement , <a>XXXX</a> said Wednesday .","Houston Police Chief Charles McClelland","McClelland","nsubj -> said"
"2605","0/1","<a>XXXX</a> may have a lasting impact on labor relations between the company and its 2,800-member pilots union .","UPS 's decision to furlough dozens of pilots","decision","nsubj -> have"
"2608","0/1","<a>XXXX</a> goes on point , whereas the man does not .","The woman","woman","nsubj -> goes"
"2609","0/1","It is expected that he will partner <a>XXXX</a> .","her , not she him","her","dobj -> partner"
"2611","0/1","It was during long overseas flights to the Middle East in March for a series of goodwill appearances before American troops that former astronauts Neil Armstrong , <a>XXXX</a> and James Lovell hatched their plan to challenge President Obama 's bid to end the nation 's back-to-the-moon program .","Eugene Cernan","Cernan","nsubj -> hatched"
"2612","0/1","One of India 's largest automakers , <a>XXXX</a> , said Wednesday that it would acquire a controlling stake in Reva , an electric car maker in Bangalore that has been looking for partners to invest in its technology .","Mahindra & Mahindra","Mahindra","appos -> One"
"2614","0/1","Despite mounting concerns about European debt and Asian economies that may be overheating , the global recovery is taking root , <a>XXXX</a> said Wednesday .","an international research group","group","nsubj -> said"
"2615","0/1","Without warning , guards sent by a senior Kremlin adviser took over <a>XXXX</a> here last week .","an elegant pre-revolutionary mansion in an upscale neighborhood of Moscow","mansion","dobj -> took"
"2616","0/1","Gliding into retirement after 32 missions covering 120 million miles , <a>XXXX</a> dropped out of orbit and returned to Earth on Wednesday , wrapping up a 25-year career with a near-flawless space station assembly mission .","the shuttle Atlantis","shuttle","nsubj -> returned"
"2617","0/1","Gliding into retirement after <a>XXXX</a> covering 120 million miles , the shuttle Atlantis returned to Earth on Wednesday , wrapping up a 25-year career with a near-flawless space station assembly mission .","32 missions","missions","nsubj -> covering"
"2618","0/1","In another indication of how frustrated voters have grown with politics as usual , California -- home of initiative-happy democracy -- is considering <a>XXXX</a> .","a radical and largely untested overhaul","overhaul","dobj -> considering"
"2619","0/1","<a>XXXX</a> believes that if you 're in a car crash , you should survive .","Ford Motor Co.","Co.","nsubj -> believes"
"2621","0/1","Wall Street has called the end of an era and the beginning of the next one : <a>XXXX</a> no longer sits on your desk but rather fits in your hand .","The most important technology product","product","nsubj -> fits"
"2622","0/1","One day after being charged with terrorism , Thailand 's fugitive former prime minister , <a>XXXX</a> , said in a telephone interview on Wednesday that he did not finance or organize the red-shirt movement that had staged a two-month sit-in here .","Thaksin Shinawatra","Shinawatra","appos -> minister"
"2623","0/1","In another indication of how frustrated voters have grown with politics as usual , California -- home of initiative-happy democracy -- is considering <a>XXXX</a> .","a radical and largely untested overhaul","overhaul","dobj -> considering"
"2624","0/1","Without warning , guards sent by a senior Kremlin adviser took over <a>XXXX</a> here last week .","an elegant pre-revolutionary mansion in an upscale neighborhood of Moscow","mansion","dobj -> took"
"2625","0/1","<a>XXXX</a> proposed that member states tax banks to raise money for a fund that would be used specifically to manage future financial crises .","A European Union official on Wednesday","official","nsubj -> proposed"
"2626","0/1","<a>XXXX</a> will hold its first trial of an Afghan detainee next week , American officers said Wednesday .","The new American-run prison outside the capital","prison","nsubj -> hold"
"2627","0/1","One day after being charged with terrorism , Thailand 's fugitive former prime minister , Thaksin Shinawatra , said in a telephone interview on Wednesday that <a>XXXX</a> did not finance or organize the red-shirt movement that had staged a two-month sit-in here .","he","he","nsubj -> finance"
"2629","0/1","In a crazy sports world where baseball players steal signs , <a>XXXX</a> 's not a holding penalty in the NFL if you do n't get caught and a disgraced Tour de France winner claims everybody cheats , golf is hopelessly out of touch .","it","it","nsubj -> penalty"
"2630","0/1","A European Union official on Wednesday proposed that member states tax banks to raise <a>XXXX</a> for a fund that would be used specifically to manage future financial crises .","money","money","dobj -> raise"
"2632","0/1","Uranium-mining leaders and federal regulators poised to fuel <a>XXXX</a> vowed to do a better job of protecting the environment in the future , but drew a group of protester nonetheless .","a resurgent nuclear power industry","industry","dobj -> fuel"
"2634","0/1","When China 's land boom excited a frenzy of popular resistance late last year -- including headline-grabbing suicides by people routed from their homes -- Chinese policy makers finally proposed <a>XXXX</a> : rules to protect citizens from unchecked development and to fairly compensate the evicted .","a solution","solution","dobj -> proposed"
"2635","0/1","<a>XXXX</a> is expected to advance tough new safety rules on offshore drilling operations Thursday , following a month-long review of industry practices in the wake of the April 20 Deepwater Horizon explosion .","The Obama administration","administration","nsubjpass -> expected"
"2636","0/1","When China 's land boom excited a frenzy of popular resistance late last year -- including headline-grabbing suicides by people routed from their homes -- <a>XXXX</a> finally proposed a solution : rules to protect citizens from unchecked development and to fairly compensate the evicted .","Chinese policy makers","makers","nsubj -> proposed"
"2637","0/1","The American International Group is likely to repay the $ 83.2 billion it owes the Federal Reserve , but whether an additional $ 49.1 billion in taxpayer investments in the company will ever be recovered remains uncertain , <a>XXXX</a> said Wednesday .","officials","officials","nsubj -> said"
"2639","0/1","The chiefs of the Army , Navy , Air Force and Marines objected on Wednesday to a compromise plan to repeal the military 's ban on allowing <a>XXXX</a> and lesbians to serve openly , a position that put them at odds with President Obama and Defense Secretary Robert M. Gates .","gay men","men","dobj -> allowing"
"2641","0/1","Near the shuttered shops of downtown Kingston , draped with fallen electricity lines and prowled by armies of stray dogs , <a>XXXX</a> emerged from the shadows Wednesday to warn off visitors , politely at first , then forcefully and finally with bursts of gunfire .","soldiers","soldiers","nsubj -> warn"
"2642","0/1","The chiefs of the Army , Navy , Air Force and Marines objected on Wednesday to a compromise plan to repeal the military 's ban on allowing gay men and lesbians to serve openly , a position that put <a>XXXX</a> at odds with President Barack Obama and Defense Secretary Robert M. Gates .","them","them","dobj -> put"
"2644","0/1","Russia and Iran publicly traded <a>XXXX</a> on Wednesday , showing strains in their longstanding alliance because of Moscow 's support for a new set of American-backed sanctions over the Iranian nuclear program .","barbs","barbs","dobj -> traded"
"2645","0/1","Russia and Iran publicly traded <a>XXXX</a> on Wednesday , showing strains in their longstanding alliance because of Moscow 's support for a new set of American-backed sanctions over the Iranian nuclear program .","barbs","barbs","dobj -> traded"
"2646","0/1","At quarter to 3 on Tuesday , more than four hours before game time , <a>XXXX</a> emerged from a loading dock underneath Miller Park and bolted into the sunshine .","Trevor Hoffman","Hoffman","nsubj -> emerged"
"2647","0/1","<a>XXXX</a> wore mesh shorts , sunglasses and no shirt , and after a 15-minute jog he was back inside , tossing a football -- left-handed -- with teammates on the field .","He","He","nsubj -> wore"
"2648","0/1","With about 800,000 Chinese employees , revenue of about $ 60 billion a year and a reputation for military-style efficiency , <a>XXXX</a> is possibly the world 's biggest electronics maker .","Foxconn Technology","Technology","nsubj -> maker"
